date,lost,found
07-Jan-22,1,0
15-Feb-22,3,0
16-Feb-22,11,0
17-Feb-22,2,0
18-Feb-22,14,3
19-Feb-22,0,1
20-Feb-22,0,2
21-Feb-22,2,1
22-Feb-22,4,3
23-Feb-22,6,1
24-Feb-22,2,3
25-Feb-22,3,1
26-Feb-22,8,0
27-Feb-22,4,0
28-Feb-22,2,2
01-Mar-22,7,0
02-Mar-22,3,1
03-Mar-22,0,2
04-Mar-22,5,1
05-Mar-22,1,0
06-Mar-22,1,2
07-Mar-22,0,1
08-Mar-22,4,6
09-Mar-22,3,1
10-Mar-22,1,5
11-Mar-22,4,1
12-Mar-22,7,1
13-Mar-22,9,4
14-Mar-22,4,0
15-Mar-22,0,1
16-Mar-22,6,0
17-Mar-22,4,6
18-Mar-22,2,1
19-Mar-22,5,4
20-Mar-22,5,1
21-Mar-22,1,1
22-Mar-22,5,6
23-Mar-22,1,1
24-Mar-22,1,4
25-Mar-22,3,5
26-Mar-22,2,3
27-Mar-22,0,2
28-Mar-22,1,4
29-Mar-22,2,9
30-Mar-22,1,9
31-Mar-22,1,3
