Date,American Short Hair,Maine Coon,Siamese,Domestic Longhair,Domestic Shorthair
01/01/2022,0,0,0,0,1
15/02/2022,0,0,0,0,1
16/02/2022,0,0,0,0,5
18/02/2022,0,0,0,1,0
22/02/2022,0,0,0,0,1
23/02/2022,0,0,0,1,0
22/02/2022,0,0,0,0,2
26/02/2022,0,5,0,0,1
28/02/2022,1,0,0,0,0
01/03/2022,0,0,0,1,2
02/03/2022,0,0,0,0,2
04/03/2022,1,0,0,0,2
05/03/2022,0,0,0,1,0
08/03/2022,2,0,0,0,1
10/03/2022,0,0,0,0,1
11/03/2022,2,0,0,0,0
12/03/2022,0,0,0,0,1
13/03/2022,0,0,0,1,6
14/03/2022,0,0,1,0,0
16/03/2022,0,0,0,0,1
18/03/2022,0,0,2,0,0
19/03/2022,0,0,1,0,1
20/03/2022,0,0,0,0,1
21/03/2022,0,0,0,0,1
22/03/2022,0,0,0,1,0
24/03/2022,0,0,0,0,1
25/03/2022,0,0,0,2,0
26/03/2022,0,0,0,0,1
28/03/2022,0,0,0,0,1
